Incident Date,State,City Or County,Address,# Killed,# Injured,Operations,loss
3-May-18,North Dakota,Grand Forks,1000 block of S 12th St,4,0,N/A,4
2-May-18,Illinois,Chicago,3500 block of W Grenshaw St,1,4,N/A,5
2-May-18,Minnesota,Minneapolis,2400 block of Ogema Place,0,6,N/A,6
2-May-18,New York,Brooklyn,Bristol St,1,4,N/A,5
1-May-18,Louisiana,New Orleans,3200 block of Saint Claude Ave,0,5,N/A,5
30-Apr-18,Florida,Pompano Beach,4251 N Dixie Hwy,0,4,N/A,4
30-Apr-18,District of Columbia,Washington,3600 block of New York Ave NE,0,4,N/A,4
29-Apr-18,Tennessee,Wartburg,519 South Kingston St,0,4,N/A,4
29-Apr-18,Washington,Seattle (Skyway),12603 Renton Ave S,2,2,N/A,4
29-Apr-18,North Carolina,Monroe,1500 block of Massey St,1,3,N/A,4
29-Apr-18,Florida,West Palm Beach,1969 S Military Trail,1,3,N/A,4
28-Apr-18,North Carolina,Maxton,Modest Rd,0,5,N/A,5
25-Apr-18,Arkansas,Pine Bluff,300 block of West 24th Street,0,4,N/A,4
25-Apr-18,Missouri,Saint Louis (Spanish Lake),1151 Northdale Drive,3,1,N/A,4
24-Apr-18,Michigan,Flint,2200 block of Ave A,0,4,N/A,4
22-Apr-18,Tennessee,Antioch,3571 Murfreesboro Pike,4,3,N/A,7
22-Apr-18,Louisiana,New Orleans,1900 block of St Roch Ave,1,5,N/A,6
21-Apr-18,Pennsylvania,Philadelphia,1800 block of W Diamond St,2,2,N/A,4
20-Apr-18,California,San Francisco,3rd Street and Quesada Ave,1,5,N/A,6
18-Apr-18,North Carolina,Asheville,73 Hansel Ave,4,3,N/A,7
15-Apr-18,Louisiana,Shreveport,6956 Jewella Ave,0,6,N/A,6
9-Apr-18,California,Vallejo,201 Maine St,0,4,N/A,4
8-Apr-18,North Carolina,Hickory,247 1st Ave NW,1,3,N/A,4
8-Apr-18,Florida,Miami,1300 block of NW 63rd Terrace,2,2,N/A,4
6-Apr-18,Florida,Jacksonville,6100 block of Transylvania Ave,0,4,N/A,4
6-Apr-18,Virginia,Virginia Beach,5800 block of Pickering St,1,3,N/A,4
4-Apr-18,Louisiana,New Orleans,3300 Garden Oaks Drive,2,2,N/A,4
2-Apr-18,Texas,Houston,8500 block of Redcliff Rd,1,3,N/A,4
1-Apr-18,Alabama,Mobile,3556 Halls Mill Rd,1,4,N/A,5
1-Apr-18,Michigan,Saginaw,600 block of Yale St,0,5,N/A,5
