,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations,loss,total_shootings,percent,Firearm_possessed
155,1-Oct-17,Nevada,Las Vegas,3950 Las Vegas Blvd S,59,441,,500,1000.0,16.58374792703151,1406
121,5-Nov-17,Texas,Sutherland Springs,216 4th St,27,20,,47,94.0,1.5588723051409619,10829
54,14-Feb-18,Florida,Pompano Beach (Parkland),5901 Pine Island Rd,17,17,,34,68.0,1.1276948590381426,7634
253,1-Jul-17,Arkansas,Little Rock,220 W 6th St,0,25,,25,50.0,0.8291873963515755,2042
111,14-Nov-17,California,Corning,17357 Stagecoach Rd,6,12,,18,36.0,0.5970149253731344,8564
354,26-Mar-17,Ohio,Cincinnati,4601 Kellogg Ave,2,15,,17,34.0,0.5638474295190713,5087
69,23-Jan-18,Kentucky,Benton,416 High School Road,2,14,,16,32.0,0.5306799336650083,2547
291,28-May-17,Alabama,Phenix City,100 block of 6th Street South,0,12,,12,24.0,0.3980099502487562,2394
424,6-Jan-17,Florida,Fort Lauderdale,100 Terminal Dr,5,6,,11,22.0,0.3648424543946932,7634
177,10-Sep-17,Texas,Plano,1712 West Spring Creek Parkway,9,1,,10,20.0,0.33167495854063017,10829
308,7-May-17,Illinois,Chicago,2600 block of 46th Pl,2,8,,10,20.0,0.33167495854063017,5239
300,20-May-17,Pennsylvania,Philadelphia,2100 block of W Huntingdon St,0,10,,10,20.0,0.33167495854063017,6325
403,27-Jan-17,Tennessee,Brownsville,221 Morgan St,0,10,,10,20.0,0.33167495854063017,3500
461,27-Nov-16,Louisiana,New Orleans,100 block of Bourbon Street,1,9,,10,20.0,0.33167495854063017,2184
238,8-Jul-17,Ohio,Cincinnati,9917 Capstan Dr,1,8,,9,18.0,0.2985074626865672,5087
162,24-Sep-17,Tennessee,Antioch,3890 Pin Hook Rd,1,8,,9,18.0,0.2985074626865672,3500
136,22-Oct-17,Alabama,Lanett,1606 19th St Sw,2,7,,9,18.0,0.2985074626865672,2394
276,11-Jun-17,Illinois,Chicago,3300 block of W Douglas Blvd,0,9,,9,18.0,0.2985074626865672,5239
329,16-Apr-17,Ohio,Columbus,1710 Cleveland Av,0,9,,9,18.0,0.2985074626865672,5087
294,27-May-17,Mississippi,Bogue Chitto,2871 Lee Dr,8,1,,9,18.0,0.2985074626865672,1562
296,27-May-17,District of Columbia,Washington,100 block of Q Street Northwest,1,7,,8,16.0,0.26533996683250416,25
486,5-Nov-16,California,Oakland,420 14th Street,0,8,,8,16.0,0.26533996683250416,8564
312,30-Apr-17,California,San Diego,9080 Judicial Dr,2,6,,8,16.0,0.26533996683250416,8564
51,17-Feb-18,Kansas,Kansas City,1615 Minnesota,1,7,,8,16.0,0.26533996683250416,1919
470,17-Nov-16,Tennessee,Dyersburg,160 Longfellow,1,7,,8,16.0,0.26533996683250416,3500
84,31-Dec-17,Colorado,Littleton (Highlands Ranch),3404 E County Line Rd,2,6,,8,16.0,0.26533996683250416,2893
415,16-Jan-17,Florida,Miami,6011 NW 32nd Ave,0,8,,8,16.0,0.26533996683250416,7634
254,30-Jun-17,New York,Bronx,1650 Grand Concourse,2,6,,8,16.0,0.26533996683250416,4180
171,16-Sep-17,South Carolina,Columbia,920 Lady Street,0,8,,8,16.0,0.26533996683250416,2243
113,12-Nov-17,Indiana,Gary,4601 Melton Rd,0,7,,7,14.0,0.23217247097844113,2983
302,14-May-17,Arkansas,Jonesboro,311 S Main St,1,6,,7,14.0,0.23217247097844113,2042
35,17-Mar-18,Kentucky,Louisville,2928 W Kentucky St,0,7,,7,14.0,0.23217247097844113,2547
15,22-Apr-18,Tennessee,Antioch,3571 Murfreesboro Pike,4,3,,7,14.0,0.23217247097844113,3500
496,30-Oct-16,New York,Newburgh,119 First Street,2,5,,7,14.0,0.23217247097844113,4180
387,12-Feb-17,Missouri,Caruthersville,908 Truman Blvd,1,6,,7,14.0,0.23217247097844113,5437
195,20-Aug-17,Illinois,Chicago,11901 S Loomis St,2,5,,7,14.0,0.23217247097844113,5239
19,18-Apr-18,North Carolina,Asheville,73 Hansel Ave,4,3,,7,14.0,0.23217247097844113,4828
204,8-Aug-17,Illinois,Chicago,1 block of East 37th Street,1,6,,7,14.0,0.23217247097844113,5239
207,6-Aug-17,California,Oakland,1000 block of 106th Avenue,0,7,,7,14.0,0.23217247097844113,8564
429,1-Jan-17,Florida,Miami,8000 block of NW 14th Ave,0,7,,7,14.0,0.23217247097844113,7634
215,1-Aug-17,California,Fresno,Mariposa St and A St,0,7,,7,14.0,0.23217247097844113,8564
107,24-Nov-17,Mississippi,Brookhaven,119 Martin Street,1,6,,7,14.0,0.23217247097844113,1562
436,25-Dec-16,Illinois,Chicago,8600 block of South Maryland Avenue,3,4,,7,14.0,0.23217247097844113,5239
462,27-Nov-16,Missouri,Kansas City,Gregory and Prospect,0,7,,7,14.0,0.23217247097844113,5437
280,9-Jun-17,Texas,Fort Worth,East Davis Avenue and New York Avenue,2,5,,7,14.0,0.23217247097844113,10829
236,9-Jul-17,Virginia,Lawrenceville,500 block Sturgeon Rd,0,7,,7,14.0,0.23217247097844113,4508
56,11-Feb-18,Michigan,Detroit,19432 Lamont Street,4,3,,7,14.0,0.23217247097844113,4350
265,18-Jun-17,South Carolina,Myrtle Beach,311 N Ocean Blvd,0,7,,7,14.0,0.23217247097844113,2243
261,22-Jun-17,Georgia,Atlanta,1100 block of Osborne Street,1,6,,7,14.0,0.23217247097844113,3833
438,24-Dec-16,North Carolina,Madison,490 K Ford Rd,0,7,,7,14.0,0.23217247097844113,4828
345,3-Apr-17,Texas,Lubbock,5401 Ave Q,0,7,,7,14.0,0.23217247097844113,10829
360,24-Mar-17,Missouri,Saint Louis,5100 block of Palm St,1,6,,7,14.0,0.23217247097844113,5437
224,26-Jul-17,North Carolina,High Point,2111 E. Green Drive,1,6,,7,14.0,0.23217247097844113,4828
110,16-Nov-17,Georgia,Columbus,1400 block of 15th Street,0,7,,7,14.0,0.23217247097844113,3833
271,14-Jun-17,Virginia,Alexandria,420 E Monroe Ave,1,5,,6,12.0,0.1990049751243781,4508
184,28-Aug-17,New Mexico,Clovis,701 N Main St,2,4,,6,12.0,0.1990049751243781,1161
457,30-Nov-16,Maryland,Baltimore,2901 Garrison Blvd,2,4,,6,12.0,0.1990049751243781,3411
292,28-May-17,New Jersey,Paterson,86 Main Street,1,5,,6,12.0,0.1990049751243781,565
283,5-Jun-17,Florida,Orlando,2427 Forsyth Rd,6,0,,6,12.0,0.1990049751243781,7634
16,22-Apr-18,Louisiana,New Orleans,1900 block of St Roch Ave,1,5,,6,12.0,0.1990049751243781,2184
332,15-Apr-17,Alabama,Birmingham,1480 Center Point Pkwy,0,6,,6,12.0,0.1990049751243781,2394
58,7-Feb-18,Florida,Lake Worth (Lantana),I-95 and Lantana Ave,3,3,,6,12.0,0.1990049751243781,7634
